his_train_loss,his_train_acc,his_val_loss,his_val_acc,his_test_acc
0.0220324862748384,0.9773961901664734,0.0224563851952552,0.976938545703888,0.158
0.0210450086742639,0.978369414806366,0.0221079904586076,0.9773297905921936,0.0
0.0206429231911897,0.9787610173225404,0.0221265517175197,0.977282166481018,0.046
0.0203122869133949,0.979107677936554,0.0221824273467063,0.9772167205810548,0.214
0.0200546849519014,0.9793790578842164,0.0222955923527479,0.9770679473876952,0.094
0.0198051016777753,0.9796660542488098,0.0223323982208967,0.9770507216453552,0.002
0.0195618085563182,0.9799572229385376,0.0224986765533685,0.9768301844596864,0.064
0.0193574801087379,0.9802048802375792,0.0226224586367607,0.9767377376556396,0.032
0.0191586762666702,0.9804590940475464,0.0227832999080419,0.9765247106552124,0.022
0.0189911387860775,0.9806756973266602,0.0228947941213846,0.9764025807380676,0.034
0.0188335161656141,0.9808839559555054,0.0230575148016214,0.9762260317802428,0.03
0.0187051482498645,0.981056034564972,0.0229766946285963,0.9763232469558716,0.038
0.0185880623757839,0.9812097549438475,0.0230403933674097,0.9763377904891968,0.07
0.0184870772063732,0.9813429713249208,0.0231470111757516,0.9762551188468932,0.052
0.0183983016759157,0.981460452079773,0.0231947470456361,0.9762245416641236,0.042
0.0183186326175928,0.981568157672882,0.0231588017195463,0.9762864708900452,0.02
0.0182518791407346,0.9816551208496094,0.0232226848602294,0.976268708705902,0.056
0.0181870125234127,0.9817412495613098,0.0233196914196014,0.976190447807312,0.058
0.0181384906172752,0.9818083643913268,0.0233601108193397,0.9762059450149536,0.026
0.0180834550410509,0.9818824529647828,0.023448247462511,0.9761347770690918,0.028
0.0180435571819543,0.9819334149360656,0.0234541520476341,0.9761510491371156,0.022
0.0180066339671611,0.9819781184196472,0.023569980636239,0.9760828018188475,0.036
0.0179724488407373,0.982024073600769,0.0234943833202123,0.9762369990348816,0.038
0.0179417561739683,0.9820595979690552,0.0235623177140951,0.976098656654358,0.03
0.0179217159748077,0.9820926785469056,0.0234878547489643,0.9761977791786194,0.026
0.0178966633975505,0.9821213483810424,0.0235416833311319,0.9761962890625,0.03
0.0178787000477314,0.9821429252624512,0.0235593765974044,0.9762189984321594,0.03
0.017862806096673,0.9821635484695436,0.023641487583518,0.9761613011360168,0.02
0.0178491957485675,0.9821804761886596,0.0236221179366111,0.9761587381362916,0.014
0.0178341567516326,0.982196033000946,0.0236752182245254,0.976115584373474,0.042
0.0178259797394275,0.9822076559066772,0.023690665140748,0.9761893153190612,0.04
0.0178150534629821,0.9822195172309875,0.023889360949397,0.9760522842407228,0.028
0.0178105272352695,0.982230544090271,0.0236388314515352,0.976131558418274,0.04
0.0178006812930107,0.9822399020195008,0.023727785795927,0.9761735200881958,0.042
