his_train_loss,his_train_acc,his_val_loss,his_val_acc
0.0336438044905662,0.9875138998031616,8.430512821178127e-07,1.0
6.160847078717779e-06,1.0,1.8639950027932173e-08,1.0
0.0289622507989406,0.9959766864776612,6.981074989198532e-07,1.0
0.0056577129289507,0.9991676211357116,6.130231857299805,0.522357702255249
0.0380399748682975,0.9961154460906982,3.611831562011503e-05,1.0
7.04295962350443e-06,1.0,1.0214725080004428e-05,1.0
1.6998845239868388e-05,1.0,3.524977955748909e-06,1.0
2.716275503189536e-06,1.0,9.98808218355407e-07,1.0
0.0027887129690498,0.999306321144104,1.3115229648974491e-06,1.0
0.0575433857738971,0.9962541460990906,1.0625292645727312e-08,1.0
4.0085613051132896e-08,1.0,0.3078669607639313,0.9900000095367432
6.156716381156002e-08,1.0,0.1223311200737953,0.996666669845581
1.4202913845018372e-10,1.0,0.124146781861782,0.996666669845581
1.804102982456979e-12,1.0,0.1241833865642547,0.996666669845581
4.259095246622602e-12,1.0,0.1242427453398704,0.996666669845581
1.021388627009401e-07,1.0,0.7226996421813965,0.993333339691162
2.2762423975379338e-28,1.0,0.7226996421813965,0.993333339691162
0.1875223964452743,0.9972058534622192,0.08500287681818,0.9958333373069764
0.001715448917821,0.9998529553413392,0.8904840350151062,0.9916666746139526
4.723278045955257e-25,1.0,0.8904840350151062,0.9916666746139526
9.4693891690966e-21,1.0,0.8904840350151062,0.9916666746139526
1.0600613198984506e-17,1.0,0.8904840350151062,0.9916666746139526
8.905455426067335e-18,1.0,0.8904840350151062,0.9916666746139526
6.839931152794726e-19,1.0,0.8904840350151062,0.9916666746139526
2.962443562385316e-22,1.0,0.8904840350151062,0.9916666746139526
5.850913097555944e-24,1.0,0.8904840350151062,0.9916666746139526
1.3080621345514781e-24,1.0,0.8904840350151062,0.9916666746139526
2.3907925312024863e-20,1.0,0.8904840350151062,0.9916666746139526
5.7955070574472926e-24,1.0,0.8904840350151062,0.9916666746139526
7.666994118292664e-21,1.0,0.8904840350151062,0.9916666746139526
0.0229321047663688,0.9997127652168274,8.192460882128216e-06,1.0
0.003217734163627,0.9988510608673096,3.9855458453530446e-06,1.0
5.274582548508989e-08,1.0,2.0910456441924907e-06,1.0
1.5148504672879426e-08,1.0,1.6409566114816698e-06,1.0
0.001471878029406,0.999856412410736,5.653883457183838,0.5655003786087036
0.0936978608369827,0.9933936595916748,0.0706820785999298,0.9959316253662108
0.0032901039812713,0.9995691776275636,5.274037903291173e-06,1.0
2.338492049602792e-05,1.0,2.941152104085632e-07,1.0
0.0031555169261991,0.999856412410736,0.0125211272388696,0.9975590109825134
0.134349837899208,0.9938244819641112,0.0341212600469589,0.9983726739883424
3.078468466810591e-07,1.0,0.0340515673160553,0.9983726739883424
9.931902411608463e-08,1.0,0.0340627469122409,0.9983726739883424
0.0022980684880167,0.999856412410736,5.7468252379067047e-11,1.0
2.209924423368648e-05,1.0,4.274564729955799e-11,1.0
7.567270949948579e-05,1.0,5.1703540754344246e-11,1.0
3.884139676557652e-09,1.0,5.1684323487677375e-11,1.0
1.4522517631121444e-05,1.0,5.2784217968726566e-11,1.0
0.006616239901632,0.9991382956504822,1.1320226192474363,0.5313262939453125
0.0246023703366518,0.9959787726402284,7.316090341191739e-05,1.0
